"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(9.0.0)","ITA.LP.A","OBS_VALUE","Italy","Population, Persons for countries / Index for country groups","Annual","Millions","59.938","59.817","59.641","59.236","59.030","58.997","58.971","58.934"
"IMF.RES:WEO(9.0.0)","G119.PCPIPCH.A","OBS_VALUE","G7","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","2.080","1.484","0.789","3.319","7.313","4.691","2.651","2.549"
"IMF.RES:WEO(9.0.0)","TWN.LP.A","OBS_VALUE","Taiwan Province of China","Population, Persons for countries / Index for country groups","Annual","Millions","23.589","23.603","23.561","23.375","23.265","23.420","23.400","23.299"
"IMF.RES:WEO(9.0.0)","BDI.LP.A","OBS_VALUE","Burundi","Population, Persons for countries / Index for country groups","Annual","Millions","11.859","12.255","12.617","12.965","13.321","13.689","14.048","14.469"
"IMF.RES:WEO(9.0.0)","MUS.LP.A","OBS_VALUE","Mauritius","Population, Persons for countries / Index for country groups","Annual","Millions","1.257","1.257","1.256","1.256","1.251","1.248","1.245","1.243"
"IMF.RES:WEO(9.0.0)","UGA.LP.A","OBS_VALUE","Uganda","Population, Persons for countries / Index for country groups","Annual","Millions","38.823","39.823","41.222","42.460","43.799","45.222","46.623","48.022"
"IMF.RES:WEO(9.0.0)","TON.LP.A","OBS_VALUE","Tonga","Population, Persons for countries / Index for country groups","Annual","Millions","0.100","0.100","0.100","0.100","0.100","0.100","0.099","0.099"
"IMF.RES:WEO(9.0.0)","HUN.LP.A","OBS_VALUE","Hungary","Population, Persons for countries / Index for country groups","Annual","Millions","9.714","9.700","9.689","9.651","9.610","9.600","9.585","9.560"
"IMF.RES:WEO(9.0.0)","SRB.LP.A","OBS_VALUE","Serbia, Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","6.983","6.945","6.899","6.834","6.664","6.623","6.586","6.540"
"IMF.RES:WEO(9.0.0)","G998.BCA_NGDPD.A","OBS_VALUE","European Union (EU)","Current account balance (credit less debit), Percent of GDP","Annual","Units","3.182","2.913","2.427","3.253","0.739","2.563","3.229","2.375"
"IMF.RES:WEO(9.0.0)","GBR.BCA_NGDPD.A","OBS_VALUE","United Kingdom","Current account balance (credit less debit), Percent of GDP","Annual","Units","-3.723","-2.479","-2.720","-0.756","-1.916","-3.570","-2.978","-3.126"
"IMF.RES:WEO(9.0.0)","USA.LP.A","OBS_VALUE","United States","Population, Persons for countries / Index for country groups","Annual","Millions","327.023","328.547","331.307","332.452","334.252","336.962","339.989","341.890"
"IMF.RES:WEO(9.0.0)","AUT.BCA_NGDPD.A","OBS_VALUE","Austria","Current account balance (credit less debit), Percent of GDP","Annual","Units","0.846","2.376","3.367","1.735","-1.294","1.606","1.527","1.034"
"IMF.RES:WEO(9.0.0)","G119.BCA_NGDPD.A","OBS_VALUE","G7","Current account balance (credit less debit), Percent of GDP","Annual","Units","-0.090","0.052","-0.722","-0.764","-1.983","-1.432","-1.643","-1.543"
"IMF.RES:WEO(9.0.0)","G110.BCA_NGDPD.A","OBS_VALUE","Advanced Economies","Current account balance (credit less debit), Percent of GDP","Annual","Units","0.794","0.724","0.264","0.742","-0.471","-0.026","0.072","0.072"
"IMF.RES:WEO(9.0.0)","G001.PCPIPCH.A","OBS_VALUE","World","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","3.644","3.558","3.317","4.706","8.674","6.749","5.792","4.133"
"IMF.RES:WEO(9.0.0)","AUT.PCPIPCH.A","OBS_VALUE","Austria","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","2.118","1.497","1.389","2.765","8.621","7.709","2.920","3.576"
